Lxtot Lxtoterr1 Lxtoterr2 r1 r1ue r1le match_star var.name var.gl_mod
       68.66         56.40         82.56          3.23          5.03          1.44  OU_And__HD_223460_  OU_And__HD_223460_          0.57
   0.01          0.01          0.01          1.14          1.38          0.90   Proxima_Cen   Proxima_Cen          0.71
        0.01          0.01          0.01          1.14          1.38          0.90   Proxima_Cen   Proxima_Cen          0.80
        0.01          0.01          0.01          1.14          1.38          0.90   Proxima_Cen   Proxima_Cen          0.96
        0.01          0.01          0.01          1.14          1.38          0.90   Proxima_Cen   Proxima_Cen          0.98
       17.14         13.87         21.02          1.38          1.91          0.86    Speedy_Mic    Speedy_Mic          0.00
       17.14         13.87         21.02          1.38          1.91          0.86    Speedy_Mic    Speedy_Mic          0.00
        6.45          5.31          7.80          1.42          1.91          0.93        TV_Crt        TV_Crt          0.40
       22.03         20.65         23.51          1.07          1.18          0.95     TW_Hydrae     TW_Hydrae          0.00
       22.03         20.65         23.51          1.07          1.18          0.95     TW_Hydrae     TW_Hydrae          0.15
       22.03         20.65         23.51          1.07          1.18          0.95     TW_Hydrae     TW_Hydrae          0.27
       22.03         20.65         23.51          1.07          1.18          0.95     TW_Hydrae     TW_Hydrae          0.47
       22.03         20.65         23.51          1.07          1.18          0.95     TW_Hydrae     TW_Hydrae          0.56
       26.59         23.36         30.28          2.45          3.17          1.72        TY_Pyx        TY_Pyx          0.35
       16.17         15.41         16.96          3.22          3.64          2.80        TZ_CrB        TZ_CrB          0.65
       51.85         48.17         55.86          3.83          4.68          2.99        UX_Ari        UX_Ari          0.02
        5.80          5.20          6.47          2.04          2.51          1.56        VW_Cep        VW_Cep          0.45
        3.96          3.67          4.28          2.00          2.33          1.67        YY_Gem        YY_Gem          0.60
        3.96          3.67          4.28          2.00          2.33          1.67        YY_Gem        YY_Gem          0.82
       14.42         13.62         15.27          2.97          3.40          2.53    lambda_And    lambda_And          0.03
        0.15          0.12          0.19          0.34          0.43          0.24       procyon       procyon          0.00
       46.03         43.51         48.69          4.73          5.70          3.75     sigma_Gem     sigma_Gem          0.02
       46.03         43.51         48.69          4.73          5.70          3.75     sigma_Gem     sigma_Gem          0.04
